Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/21/2021 04:06:57.039 PM, 0.2271, DAQ Start
         2,   01/21/2021 04:06:57.043 PM, 0.2320
         3,   01/21/2021 04:06:57.047 PM, 0.2320
         4,   01/21/2021 04:06:57.051 PM, 0.2369
         5,   01/21/2021 04:06:57.055 PM, 0.2320
         6,   01/21/2021 04:06:57.059 PM, 0.2271
         7,   01/21/2021 04:06:57.063 PM, 0.2320
         8,   01/21/2021 04:06:57.067 PM, 0.2320
         9,   01/21/2021 04:06:57.071 PM, 0.2320
        10,   01/21/2021 04:06:57.075 PM, 0.2320
        11,   01/21/2021 04:06:57.079 PM, 0.2320
        12,   01/21/2021 04:06:57.083 PM, 0.2320
        13,   01/21/2021 04:06:57.087 PM, 0.2320
        14,   01/21/2021 04:06:57.091 PM, 0.2271
        15,   01/21/2021 04:06:57.095 PM, 0.2369
        16,   01/21/2021 04:06:57.099 PM, 0.2320
        17,   01/21/2021 04:06:57.103 PM, 0.2369
        18,   01/21/2021 04:06:57.107 PM, 0.2320
        19,   01/21/2021 04:06:57.111 PM, 0.2320
        20,   01/21/2021 04:06:57.115 PM, 0.2271
        21,   01/21/2021 04:06:57.119 PM, 0.2320
        22,   01/21/2021 04:06:57.123 PM, 0.2320
        23,   01/21/2021 04:06:57.127 PM, 0.2320
        24,   01/21/2021 04:06:57.131 PM, 0.2320
        25,   01/21/2021 04:06:57.135 PM, 0.2320
        26,   01/21/2021 04:06:57.139 PM, 0.2320
        27,   01/21/2021 04:06:57.143 PM, 0.2271
        28,   01/21/2021 04:06:57.147 PM, 0.2271
        29,   01/21/2021 04:06:57.151 PM, 0.2320
        30,   01/21/2021 04:06:57.155 PM, 0.2271
        31,   01/21/2021 04:06:57.159 PM, 0.2320
        32,   01/21/2021 04:06:57.163 PM, 0.2271
        33,   01/21/2021 04:06:57.167 PM, 0.2320
        34,   01/21/2021 04:06:57.171 PM, 0.2320
        35,   01/21/2021 04:06:57.175 PM, 0.2271
        36,   01/21/2021 04:06:57.179 PM, 0.2320
        37,   01/21/2021 04:06:57.183 PM, 0.2320
        38,   01/21/2021 04:06:57.187 PM, 0.2320
        39,   01/21/2021 04:06:57.191 PM, 0.2271
        40,   01/21/2021 04:06:57.195 PM, 0.2271
