Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/21/2021 04:04:39.558 PM, 0.2320, DAQ Start
         2,   01/21/2021 04:04:39.562 PM, 0.2320
         3,   01/21/2021 04:04:39.566 PM, 0.2369
         4,   01/21/2021 04:04:39.570 PM, 0.2320
         5,   01/21/2021 04:04:39.574 PM, 0.2320
         6,   01/21/2021 04:04:39.578 PM, 0.2320
         7,   01/21/2021 04:04:39.582 PM, 0.2271
         8,   01/21/2021 04:04:39.586 PM, 0.2369
         9,   01/21/2021 04:04:39.590 PM, 0.2271
        10,   01/21/2021 04:04:39.594 PM, 0.2320
        11,   01/21/2021 04:04:39.598 PM, 0.2320
        12,   01/21/2021 04:04:39.602 PM, 0.2320
        13,   01/21/2021 04:04:39.606 PM, 0.2320
        14,   01/21/2021 04:04:39.610 PM, 0.2271
        15,   01/21/2021 04:04:39.614 PM, 0.2320
        16,   01/21/2021 04:04:39.618 PM, 0.2271
        17,   01/21/2021 04:04:39.622 PM, 0.2320
        18,   01/21/2021 04:04:39.626 PM, 0.2271
        19,   01/21/2021 04:04:39.630 PM, 0.2271
        20,   01/21/2021 04:04:39.634 PM, 0.2271
        21,   01/21/2021 04:04:39.638 PM, 0.2320
        22,   01/21/2021 04:04:39.642 PM, 0.2271
        23,   01/21/2021 04:04:39.646 PM, 0.2271
        24,   01/21/2021 04:04:39.650 PM, 0.2320
        25,   01/21/2021 04:04:39.654 PM, 0.2271
        26,   01/21/2021 04:04:39.658 PM, 0.2271
        27,   01/21/2021 04:04:39.662 PM, 0.2271
        28,   01/21/2021 04:04:39.666 PM, 0.2271
        29,   01/21/2021 04:04:39.670 PM, 0.2320
        30,   01/21/2021 04:04:39.674 PM, 0.2271
        31,   01/21/2021 04:04:39.678 PM, 0.2271
        32,   01/21/2021 04:04:39.682 PM, 0.2320
        33,   01/21/2021 04:04:39.686 PM, 0.2271
        34,   01/21/2021 04:04:39.690 PM, 0.2271
        35,   01/21/2021 04:04:39.694 PM, 0.2320
        36,   01/21/2021 04:04:39.698 PM, 0.2271
        37,   01/21/2021 04:04:39.702 PM, 0.2320
        38,   01/21/2021 04:04:39.706 PM, 0.2320
        39,   01/21/2021 04:04:39.710 PM, 0.2320
        40,   01/21/2021 04:04:39.714 PM, 0.2320
