Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
       112,   01/21/2021 04:11:18.741 PM, 0.2271
       113,   01/21/2021 04:11:18.745 PM, 0.2271
       114,   01/21/2021 04:11:18.749 PM, 0.2271
       115,   01/21/2021 04:11:18.753 PM, 0.2271
       116,   01/21/2021 04:11:18.757 PM, 0.2271
       117,   01/21/2021 04:11:18.761 PM, 0.2320
       118,   01/21/2021 04:11:18.765 PM, 0.2271
       119,   01/21/2021 04:11:18.769 PM, 0.2271
       120,   01/21/2021 04:11:18.773 PM, 0.2271
       121,   01/21/2021 04:11:18.777 PM, 0.2271
       122,   01/21/2021 04:11:18.781 PM, 0.2271
       123,   01/21/2021 04:11:18.785 PM, 0.2271
       124,   01/21/2021 04:11:18.789 PM, 0.2271
       125,   01/21/2021 04:11:18.793 PM, 0.2271
       126,   01/21/2021 04:11:18.797 PM, 0.2271
       127,   01/21/2021 04:11:18.801 PM, 0.2271
       128,   01/21/2021 04:11:18.805 PM, 0.2271
       129,   01/21/2021 04:11:18.809 PM, 0.2271
       130,   01/21/2021 04:11:18.813 PM, 0.2271
       131,   01/21/2021 04:11:18.817 PM, 0.2271
       132,   01/21/2021 04:11:18.821 PM, 0.2271
       133,   01/21/2021 04:11:18.825 PM, 0.2271
       134,   01/21/2021 04:11:18.829 PM, 0.2271
       135,   01/21/2021 04:11:18.833 PM, 0.2271
       136,   01/21/2021 04:11:18.837 PM, 0.2271
       137,   01/21/2021 04:11:18.841 PM, 0.2271
       138,   01/21/2021 04:11:18.845 PM, 0.2271
       139,   01/21/2021 04:11:18.849 PM, 0.2271
       140,   01/21/2021 04:11:18.853 PM, 0.2320
       141,   01/21/2021 04:11:18.857 PM, 0.2271
       142,   01/21/2021 04:11:18.861 PM, 0.2320
       143,   01/21/2021 04:11:18.865 PM, 0.2271
       144,   01/21/2021 04:11:18.869 PM, 0.2320
       145,   01/21/2021 04:11:18.873 PM, 0.2271
       146,   01/21/2021 04:11:18.877 PM, 0.2271
       147,   01/21/2021 04:11:18.881 PM, 0.2271
       148,   01/21/2021 04:11:18.885 PM, 0.2271
       149,   01/21/2021 04:11:18.889 PM, 0.2271
       150,   01/21/2021 04:11:18.893 PM, 0.2271
       151,   01/21/2021 04:11:18.897 PM, 0.2271
       152,   01/21/2021 04:11:18.901 PM, 0.2271
       153,   01/21/2021 04:11:18.905 PM, 0.2271
       154,   01/21/2021 04:11:18.909 PM, 0.2271
       155,   01/21/2021 04:11:18.913 PM, 0.2271
       156,   01/21/2021 04:11:18.917 PM, 0.2271
       157,   01/21/2021 04:11:18.921 PM, 0.2271
       158,   01/21/2021 04:11:18.925 PM, 0.2271
       159,   01/21/2021 04:11:18.929 PM, 0.2271
       160,   01/21/2021 04:11:18.933 PM, 0.2271
       161,   01/21/2021 04:11:18.937 PM, 0.2271
       162,   01/21/2021 04:11:18.941 PM, 0.2271
       163,   01/21/2021 04:11:18.945 PM, 0.2271
       164,   01/21/2021 04:11:18.949 PM, 0.2271
       165,   01/21/2021 04:11:18.953 PM, 0.2320
       166,   01/21/2021 04:11:18.957 PM, 0.2271
