Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/21/2021 04:01:50.757 PM, 0.2515, DAQ Start
         2,   01/21/2021 04:01:50.761 PM, 0.2564
         3,   01/21/2021 04:01:50.765 PM, 0.2564
         4,   01/21/2021 04:01:50.769 PM, 0.2613
         5,   01/21/2021 04:01:50.773 PM, 0.2564
         6,   01/21/2021 04:01:50.777 PM, 0.2515
         7,   01/21/2021 04:01:50.781 PM, 0.2564
         8,   01/21/2021 04:01:50.785 PM, 0.2564
         9,   01/21/2021 04:01:50.789 PM, 0.2564
        10,   01/21/2021 04:01:50.793 PM, 0.2515
        11,   01/21/2021 04:01:50.797 PM, 0.2515
        12,   01/21/2021 04:01:50.801 PM, 0.2515
        13,   01/21/2021 04:01:50.805 PM, 0.2564
        14,   01/21/2021 04:01:50.809 PM, 0.2515
        15,   01/21/2021 04:01:50.813 PM, 0.2515
        16,   01/21/2021 04:01:50.817 PM, 0.2564
        17,   01/21/2021 04:01:50.821 PM, 0.2515
        18,   01/21/2021 04:01:50.825 PM, 0.2564
        19,   01/21/2021 04:01:50.829 PM, 0.2515
        20,   01/21/2021 04:01:50.833 PM, 0.2564
        21,   01/21/2021 04:01:50.837 PM, 0.2515
        22,   01/21/2021 04:01:50.841 PM, 0.2515
        23,   01/21/2021 04:01:50.845 PM, 0.2515
        24,   01/21/2021 04:01:50.849 PM, 0.2564
        25,   01/21/2021 04:01:50.853 PM, 0.2515
        26,   01/21/2021 04:01:50.857 PM, 0.2515
        27,   01/21/2021 04:01:50.861 PM, 0.2515
        28,   01/21/2021 04:01:50.865 PM, 0.2564
        29,   01/21/2021 04:01:50.869 PM, 0.2564
        30,   01/21/2021 04:01:50.873 PM, 0.2515
        31,   01/21/2021 04:01:50.877 PM, 0.2515
        32,   01/21/2021 04:01:50.881 PM, 0.2564
        33,   01/21/2021 04:01:50.885 PM, 0.2564
        34,   01/21/2021 04:01:50.889 PM, 0.2564
        35,   01/21/2021 04:01:50.893 PM, 0.2564
        36,   01/21/2021 04:01:50.897 PM, 0.2564
        37,   01/21/2021 04:01:50.901 PM, 0.2515
        38,   01/21/2021 04:01:50.905 PM, 0.2564
        39,   01/21/2021 04:01:50.909 PM, 0.2564
        40,   01/21/2021 04:01:50.913 PM, 0.2564
