Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/21/2021 04:03:28.438 PM, 0.2564, DAQ Start
         2,   01/21/2021 04:03:28.442 PM, 0.2613
         3,   01/21/2021 04:03:28.446 PM, 0.2564
         4,   01/21/2021 04:03:28.450 PM, 0.2564
         5,   01/21/2021 04:03:28.454 PM, 0.2564
         6,   01/21/2021 04:03:28.458 PM, 0.2564
         7,   01/21/2021 04:03:28.462 PM, 0.2564
         8,   01/21/2021 04:03:28.466 PM, 0.2564
         9,   01/21/2021 04:03:28.470 PM, 0.2564
        10,   01/21/2021 04:03:28.474 PM, 0.2564
        11,   01/21/2021 04:03:28.478 PM, 0.2564
        12,   01/21/2021 04:03:28.482 PM, 0.2564
        13,   01/21/2021 04:03:28.486 PM, 0.2564
        14,   01/21/2021 04:03:28.490 PM, 0.2564
        15,   01/21/2021 04:03:28.494 PM, 0.2564
        16,   01/21/2021 04:03:28.498 PM, 0.2564
        17,   01/21/2021 04:03:28.502 PM, 0.2564
        18,   01/21/2021 04:03:28.506 PM, 0.2564
        19,   01/21/2021 04:03:28.510 PM, 0.2564
        20,   01/21/2021 04:03:28.514 PM, 0.2564
        21,   01/21/2021 04:03:28.518 PM, 0.2564
        22,   01/21/2021 04:03:28.522 PM, 0.2564
        23,   01/21/2021 04:03:28.526 PM, 0.2515
        24,   01/21/2021 04:03:28.530 PM, 0.2564
        25,   01/21/2021 04:03:28.534 PM, 0.2613
        26,   01/21/2021 04:03:28.538 PM, 0.2564
        27,   01/21/2021 04:03:28.542 PM, 0.2515
        28,   01/21/2021 04:03:28.546 PM, 0.2564
        29,   01/21/2021 04:03:28.550 PM, 0.2564
        30,   01/21/2021 04:03:28.554 PM, 0.2564
        31,   01/21/2021 04:03:28.558 PM, 0.2564
        32,   01/21/2021 04:03:28.562 PM, 0.2564
        33,   01/21/2021 04:03:28.566 PM, 0.2564
        34,   01/21/2021 04:03:28.570 PM, 0.2564
        35,   01/21/2021 04:03:28.574 PM, 0.2564
        36,   01/21/2021 04:03:28.578 PM, 0.2564
        37,   01/21/2021 04:03:28.582 PM, 0.2564
        38,   01/21/2021 04:03:28.586 PM, 0.2564
        39,   01/21/2021 04:03:28.590 PM, 0.2564
        40,   01/21/2021 04:03:28.594 PM, 0.2564
