Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:16:42.734 PM, 0.2271, DAQ Start
         2,   01/25/2021 04:16:42.738 PM, 0.2271
         3,   01/25/2021 04:16:42.742 PM, 0.2271
         4,   01/25/2021 04:16:42.746 PM, 0.2271
         5,   01/25/2021 04:16:42.750 PM, 0.2271
         6,   01/25/2021 04:16:42.754 PM, 0.2271
         7,   01/25/2021 04:16:42.758 PM, 0.2271
         8,   01/25/2021 04:16:42.762 PM, 0.2271
         9,   01/25/2021 04:16:42.766 PM, 0.2222
        10,   01/25/2021 04:16:42.770 PM, 0.2271
        11,   01/25/2021 04:16:42.774 PM, 0.2222
        12,   01/25/2021 04:16:42.778 PM, 0.2222
        13,   01/25/2021 04:16:42.782 PM, 0.2271
        14,   01/25/2021 04:16:42.786 PM, 0.2222
        15,   01/25/2021 04:16:42.790 PM, 0.2271
        16,   01/25/2021 04:16:42.794 PM, 0.2222
        17,   01/25/2021 04:16:42.798 PM, 0.2222
        18,   01/25/2021 04:16:42.802 PM, 0.2271
        19,   01/25/2021 04:16:42.806 PM, 0.2271
        20,   01/25/2021 04:16:42.810 PM, 0.2222
        21,   01/25/2021 04:16:42.814 PM, 0.2271
        22,   01/25/2021 04:16:42.818 PM, 0.2271
        23,   01/25/2021 04:16:42.822 PM, 0.2222
        24,   01/25/2021 04:16:42.826 PM, 0.2222
        25,   01/25/2021 04:16:42.830 PM, 0.2271
        26,   01/25/2021 04:16:42.834 PM, 0.2222
        27,   01/25/2021 04:16:42.838 PM, 0.2271
        28,   01/25/2021 04:16:42.842 PM, 0.2271
        29,   01/25/2021 04:16:42.846 PM, 0.2271
        30,   01/25/2021 04:16:42.850 PM, 0.2271
        31,   01/25/2021 04:16:42.854 PM, 0.2222
        32,   01/25/2021 04:16:42.858 PM, 0.2271
        33,   01/25/2021 04:16:42.862 PM, 0.2271
        34,   01/25/2021 04:16:42.866 PM, 0.2271
        35,   01/25/2021 04:16:42.870 PM, 0.2271
        36,   01/25/2021 04:16:42.874 PM, 0.2271
        37,   01/25/2021 04:16:42.878 PM, 0.2271
        38,   01/25/2021 04:16:42.882 PM, 0.2271
        39,   01/25/2021 04:16:42.886 PM, 0.2271
        40,   01/25/2021 04:16:42.890 PM, 0.2271
