Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:20:42.652 PM, 0.2466, DAQ Start
         2,   01/25/2021 04:20:42.656 PM, 0.2418
         3,   01/25/2021 04:20:42.660 PM, 0.2466
         4,   01/25/2021 04:20:42.664 PM, 0.2418
         5,   01/25/2021 04:20:42.668 PM, 0.2466
         6,   01/25/2021 04:20:42.672 PM, 0.2466
         7,   01/25/2021 04:20:42.676 PM, 0.2466
         8,   01/25/2021 04:20:42.680 PM, 0.2466
         9,   01/25/2021 04:20:42.684 PM, 0.2466
        10,   01/25/2021 04:20:42.688 PM, 0.2466
        11,   01/25/2021 04:20:42.692 PM, 0.2466
        12,   01/25/2021 04:20:42.696 PM, 0.2466
        13,   01/25/2021 04:20:42.700 PM, 0.2466
        14,   01/25/2021 04:20:42.704 PM, 0.2466
        15,   01/25/2021 04:20:42.708 PM, 0.2466
        16,   01/25/2021 04:20:42.712 PM, 0.2466
        17,   01/25/2021 04:20:42.716 PM, 0.2466
        18,   01/25/2021 04:20:42.720 PM, 0.2466
        19,   01/25/2021 04:20:42.724 PM, 0.2466
        20,   01/25/2021 04:20:42.728 PM, 0.2466
        21,   01/25/2021 04:20:42.732 PM, 0.2466
        22,   01/25/2021 04:20:42.736 PM, 0.2466
        23,   01/25/2021 04:20:42.740 PM, 0.2466
        24,   01/25/2021 04:20:42.744 PM, 0.2466
        25,   01/25/2021 04:20:42.748 PM, 0.2466
        26,   01/25/2021 04:20:42.752 PM, 0.2466
        27,   01/25/2021 04:20:42.756 PM, 0.2466
        28,   01/25/2021 04:20:42.760 PM, 0.2418
        29,   01/25/2021 04:20:42.764 PM, 0.2466
        30,   01/25/2021 04:20:42.768 PM, 0.2466
        31,   01/25/2021 04:20:42.772 PM, 0.2466
        32,   01/25/2021 04:20:42.776 PM, 0.2466
        33,   01/25/2021 04:20:42.780 PM, 0.2418
        34,   01/25/2021 04:20:42.784 PM, 0.2466
        35,   01/25/2021 04:20:42.788 PM, 0.2466
        36,   01/25/2021 04:20:42.792 PM, 0.2466
        37,   01/25/2021 04:20:42.796 PM, 0.2418
        38,   01/25/2021 04:20:42.800 PM, 0.2466
        39,   01/25/2021 04:20:42.804 PM, 0.2418
        40,   01/25/2021 04:20:42.808 PM, 0.2418
