Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:03:30.857 PM, 0.2271, DAQ Start
         2,   01/25/2021 04:03:30.861 PM, 0.2271
         3,   01/25/2021 04:03:30.865 PM, 0.2271
         4,   01/25/2021 04:03:30.869 PM, 0.2271
         5,   01/25/2021 04:03:30.873 PM, 0.2271
         6,   01/25/2021 04:03:30.877 PM, 0.2271
         7,   01/25/2021 04:03:30.881 PM, 0.2271
         8,   01/25/2021 04:03:30.885 PM, 0.2271
         9,   01/25/2021 04:03:30.889 PM, 0.2271
        10,   01/25/2021 04:03:30.893 PM, 0.2271
        11,   01/25/2021 04:03:30.897 PM, 0.2271
        12,   01/25/2021 04:03:30.901 PM, 0.2271
        13,   01/25/2021 04:03:30.905 PM, 0.2271
        14,   01/25/2021 04:03:30.909 PM, 0.2271
        15,   01/25/2021 04:03:30.913 PM, 0.2271
        16,   01/25/2021 04:03:30.917 PM, 0.2271
        17,   01/25/2021 04:03:30.921 PM, 0.2271
        18,   01/25/2021 04:03:30.925 PM, 0.2271
        19,   01/25/2021 04:03:30.929 PM, 0.2271
        20,   01/25/2021 04:03:30.933 PM, 0.2271
        21,   01/25/2021 04:03:30.937 PM, 0.2271
        22,   01/25/2021 04:03:30.941 PM, 0.2271
        23,   01/25/2021 04:03:30.945 PM, 0.2271
        24,   01/25/2021 04:03:30.949 PM, 0.2271
        25,   01/25/2021 04:03:30.953 PM, 0.2271
        26,   01/25/2021 04:03:30.957 PM, 0.2271
        27,   01/25/2021 04:03:30.961 PM, 0.2271
        28,   01/25/2021 04:03:30.965 PM, 0.2271
        29,   01/25/2021 04:03:30.969 PM, 0.2271
        30,   01/25/2021 04:03:30.973 PM, 0.2271
        31,   01/25/2021 04:03:30.977 PM, 0.2271
        32,   01/25/2021 04:03:30.981 PM, 0.2271
        33,   01/25/2021 04:03:30.985 PM, 0.2271
        34,   01/25/2021 04:03:30.989 PM, 0.2271
        35,   01/25/2021 04:03:30.993 PM, 0.2271
        36,   01/25/2021 04:03:30.997 PM, 0.2271
        37,   01/25/2021 04:03:31.001 PM, 0.2271
        38,   01/25/2021 04:03:31.005 PM, 0.2271
        39,   01/25/2021 04:03:31.009 PM, 0.2271
        40,   01/25/2021 04:03:31.013 PM, 0.2271
