Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:01:51.952 PM, 0.2466, DAQ Start
         2,   01/25/2021 04:01:51.956 PM, 0.2466
         3,   01/25/2021 04:01:51.960 PM, 0.2466
         4,   01/25/2021 04:01:51.964 PM, 0.2466
         5,   01/25/2021 04:01:51.968 PM, 0.2466
         6,   01/25/2021 04:01:51.972 PM, 0.2466
         7,   01/25/2021 04:01:51.976 PM, 0.2466
         8,   01/25/2021 04:01:51.980 PM, 0.2466
         9,   01/25/2021 04:01:51.984 PM, 0.2466
        10,   01/25/2021 04:01:51.988 PM, 0.2466
        11,   01/25/2021 04:01:51.992 PM, 0.2466
        12,   01/25/2021 04:01:51.996 PM, 0.2466
        13,   01/25/2021 04:01:52.000 PM, 0.2466
        14,   01/25/2021 04:01:52.004 PM, 0.2466
        15,   01/25/2021 04:01:52.008 PM, 0.2466
        16,   01/25/2021 04:01:52.012 PM, 0.2466
        17,   01/25/2021 04:01:52.016 PM, 0.2466
        18,   01/25/2021 04:01:52.020 PM, 0.2466
        19,   01/25/2021 04:01:52.024 PM, 0.2466
        20,   01/25/2021 04:01:52.028 PM, 0.2466
        21,   01/25/2021 04:01:52.032 PM, 0.2466
        22,   01/25/2021 04:01:52.036 PM, 0.2466
        23,   01/25/2021 04:01:52.040 PM, 0.2466
        24,   01/25/2021 04:01:52.044 PM, 0.2466
        25,   01/25/2021 04:01:52.048 PM, 0.2466
        26,   01/25/2021 04:01:52.052 PM, 0.2466
        27,   01/25/2021 04:01:52.056 PM, 0.2466
        28,   01/25/2021 04:01:52.060 PM, 0.2466
        29,   01/25/2021 04:01:52.064 PM, 0.2466
        30,   01/25/2021 04:01:52.068 PM, 0.2466
        31,   01/25/2021 04:01:52.072 PM, 0.2466
        32,   01/25/2021 04:01:52.076 PM, 0.2466
        33,   01/25/2021 04:01:52.080 PM, 0.2466
        34,   01/25/2021 04:01:52.084 PM, 0.2466
        35,   01/25/2021 04:01:52.088 PM, 0.2466
        36,   01/25/2021 04:01:52.092 PM, 0.2466
        37,   01/25/2021 04:01:52.096 PM, 0.2466
        38,   01/25/2021 04:01:52.100 PM, 0.2466
        39,   01/25/2021 04:01:52.104 PM, 0.2466
        40,   01/25/2021 04:01:52.108 PM, 0.2466
