Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/25/2021 04:35:53.378 PM, 0.2271, DAQ Start
         2,   01/25/2021 04:35:53.382 PM, 0.2271
         3,   01/25/2021 04:35:53.386 PM, 0.2271
         4,   01/25/2021 04:35:53.390 PM, 0.2271
         5,   01/25/2021 04:35:53.394 PM, 0.2271
         6,   01/25/2021 04:35:53.398 PM, 0.2271
         7,   01/25/2021 04:35:53.402 PM, 0.2271
         8,   01/25/2021 04:35:53.406 PM, 0.2271
         9,   01/25/2021 04:35:53.410 PM, 0.2271
        10,   01/25/2021 04:35:53.414 PM, 0.2271
        11,   01/25/2021 04:35:53.418 PM, 0.2271
        12,   01/25/2021 04:35:53.422 PM, 0.2271
        13,   01/25/2021 04:35:53.426 PM, 0.2271
        14,   01/25/2021 04:35:53.430 PM, 0.2271
        15,   01/25/2021 04:35:53.434 PM, 0.2271
        16,   01/25/2021 04:35:53.438 PM, 0.2271
        17,   01/25/2021 04:35:53.442 PM, 0.2271
        18,   01/25/2021 04:35:53.446 PM, 0.2271
        19,   01/25/2021 04:35:53.450 PM, 0.2222
        20,   01/25/2021 04:35:53.454 PM, 0.2271
        21,   01/25/2021 04:35:53.458 PM, 0.2271
        22,   01/25/2021 04:35:53.462 PM, 0.2271
        23,   01/25/2021 04:35:53.466 PM, 0.2271
        24,   01/25/2021 04:35:53.470 PM, 0.2222
        25,   01/25/2021 04:35:53.474 PM, 0.2271
        26,   01/25/2021 04:35:53.478 PM, 0.2271
        27,   01/25/2021 04:35:53.482 PM, 0.2271
        28,   01/25/2021 04:35:53.486 PM, 0.2271
        29,   01/25/2021 04:35:53.490 PM, 0.2271
        30,   01/25/2021 04:35:53.494 PM, 0.2271
        31,   01/25/2021 04:35:53.498 PM, 0.2271
        32,   01/25/2021 04:35:53.502 PM, 0.2271
        33,   01/25/2021 04:35:53.506 PM, 0.2271
        34,   01/25/2021 04:35:53.510 PM, 0.2271
        35,   01/25/2021 04:35:53.514 PM, 0.2271
        36,   01/25/2021 04:35:53.518 PM, 0.2222
        37,   01/25/2021 04:35:53.522 PM, 0.2271
        38,   01/25/2021 04:35:53.526 PM, 0.2222
        39,   01/25/2021 04:35:53.530 PM, 0.2271
        40,   01/25/2021 04:35:53.534 PM, 0.2271
