Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
       112,   01/19/2021 11:56:44.773 AM, 0.2808
       113,   01/19/2021 11:56:44.777 AM, 0.2857
       114,   01/19/2021 11:56:44.781 AM, 0.2857
       115,   01/19/2021 11:56:44.785 AM, 0.2857
       116,   01/19/2021 11:56:44.789 AM, 0.2857
       117,   01/19/2021 11:56:44.793 AM, 0.2906
       118,   01/19/2021 11:56:44.797 AM, 0.2808
       119,   01/19/2021 11:56:44.801 AM, 0.2906
       120,   01/19/2021 11:56:44.805 AM, 0.2857
       121,   01/19/2021 11:56:44.809 AM, 0.2857
       122,   01/19/2021 11:56:44.813 AM, 0.2857
       123,   01/19/2021 11:56:44.817 AM, 0.2906
       124,   01/19/2021 11:56:44.821 AM, 0.2857
       125,   01/19/2021 11:56:44.825 AM, 0.2857
       126,   01/19/2021 11:56:44.829 AM, 0.2808
       127,   01/19/2021 11:56:44.833 AM, 0.2857
       128,   01/19/2021 11:56:44.837 AM, 0.2857
       129,   01/19/2021 11:56:44.841 AM, 0.2808
       130,   01/19/2021 11:56:44.845 AM, 0.2808
       131,   01/19/2021 11:56:44.849 AM, 0.2857
       132,   01/19/2021 11:56:44.853 AM, 0.2857
       133,   01/19/2021 11:56:44.857 AM, 0.2857
       134,   01/19/2021 11:56:44.861 AM, 0.2857
       135,   01/19/2021 11:56:44.865 AM, 0.2808
       136,   01/19/2021 11:56:44.869 AM, 0.2808
       137,   01/19/2021 11:56:44.873 AM, 0.2857
       138,   01/19/2021 11:56:44.877 AM, 0.2857
       139,   01/19/2021 11:56:44.881 AM, 0.2857
       140,   01/19/2021 11:56:44.885 AM, 0.2808
       141,   01/19/2021 11:56:44.889 AM, 0.2808
       142,   01/19/2021 11:56:44.893 AM, 0.2808
       143,   01/19/2021 11:56:44.897 AM, 0.2857
       144,   01/19/2021 11:56:44.901 AM, 0.2857
       145,   01/19/2021 11:56:44.905 AM, 0.2857
       146,   01/19/2021 11:56:44.909 AM, 0.2857
       147,   01/19/2021 11:56:44.913 AM, 0.2808
       148,   01/19/2021 11:56:44.917 AM, 0.2857
       149,   01/19/2021 11:56:44.921 AM, 0.2857
       150,   01/19/2021 11:56:44.925 AM, 0.2808
       151,   01/19/2021 11:56:44.929 AM, 0.2808
       152,   01/19/2021 11:56:44.933 AM, 0.2808
       153,   01/19/2021 11:56:44.937 AM, 0.2857
       154,   01/19/2021 11:56:44.941 AM, 0.2857
       155,   01/19/2021 11:56:44.945 AM, 0.2857
       156,   01/19/2021 11:56:44.949 AM, 0.2808
       157,   01/19/2021 11:56:44.953 AM, 0.2857
       158,   01/19/2021 11:56:44.957 AM, 0.2857
       159,   01/19/2021 11:56:44.961 AM, 0.2857
       160,   01/19/2021 11:56:44.965 AM, 0.2857
       161,   01/19/2021 11:56:44.969 AM, 0.2857
       162,   01/19/2021 11:56:44.973 AM, 0.2857
       163,   01/19/2021 11:56:44.977 AM, 0.2857
       164,   01/19/2021 11:56:44.981 AM, 0.2857
       165,   01/19/2021 11:56:44.985 AM, 0.2857
       166,   01/19/2021 11:56:44.989 AM, 0.2857
       167,   01/19/2021 11:56:44.993 AM, 0.2857
       168,   01/19/2021 11:56:44.997 AM, 0.2857
       169,   01/19/2021 11:56:45.001 AM, 0.2857
       170,   01/19/2021 11:56:45.005 AM, 0.2857
       171,   01/19/2021 11:56:45.009 AM, 0.2857
       172,   01/19/2021 11:56:45.013 AM, 0.2857
       173,   01/19/2021 11:56:45.017 AM, 0.2857
       174,   01/19/2021 11:56:45.021 AM, 0.2808
       175,   01/19/2021 11:56:45.025 AM, 0.2857
       176,   01/19/2021 11:56:45.029 AM, 0.2857
       177,   01/19/2021 11:56:45.033 AM, 0.2857
       178,   01/19/2021 11:56:45.037 AM, 0.2808
       179,   01/19/2021 11:56:45.041 AM, 0.2857
       180,   01/19/2021 11:56:45.045 AM, 0.2857
       181,   01/19/2021 11:56:45.049 AM, 0.2808
       182,   01/19/2021 11:56:45.053 AM, 0.2808
       183,   01/19/2021 11:56:45.057 AM, 0.2808
       184,   01/19/2021 11:56:45.061 AM, 0.2808
       185,   01/19/2021 11:56:45.065 AM, 0.2808
       186,   01/19/2021 11:56:45.069 AM, 0.2808
       187,   01/19/2021 11:56:45.073 AM, 0.2808
       188,   01/19/2021 11:56:45.077 AM, 0.2857
       189,   01/19/2021 11:56:45.081 AM, 0.2857
       190,   01/19/2021 11:56:45.085 AM, 0.2857
       191,   01/19/2021 11:56:45.089 AM, 0.2857
       192,   01/19/2021 11:56:45.093 AM, 0.2808
       193,   01/19/2021 11:56:45.097 AM, 0.2857
       194,   01/19/2021 11:56:45.101 AM, 0.2857
       195,   01/19/2021 11:56:45.105 AM, 0.2857
       196,   01/19/2021 11:56:45.109 AM, 0.2857
       197,   01/19/2021 11:56:45.113 AM, 0.2857
       198,   01/19/2021 11:56:45.117 AM, 0.2857
       199,   01/19/2021 11:56:45.121 AM, 0.2857
       200,   01/19/2021 11:56:45.125 AM, 0.2857
       201,   01/19/2021 11:56:45.129 AM, 0.2857
       202,   01/19/2021 11:56:45.133 AM, 0.2857
       203,   01/19/2021 11:56:45.137 AM, 0.2857
       204,   01/19/2021 11:56:45.141 AM, 0.2857
       205,   01/19/2021 11:56:45.145 AM, 0.2857
       206,   01/19/2021 11:56:45.149 AM, 0.2857
       207,   01/19/2021 11:56:45.153 AM, 0.2857
       208,   01/19/2021 11:56:45.157 AM, 0.2857
       209,   01/19/2021 11:56:45.161 AM, 0.2857
       210,   01/19/2021 11:56:45.165 AM, 0.2857
       211,   01/19/2021 11:56:45.169 AM, 0.2857
       212,   01/19/2021 11:56:45.173 AM, 0.2857
       213,   01/19/2021 11:56:45.177 AM, 0.2857
       214,   01/19/2021 11:56:45.181 AM, 0.2808
       215,   01/19/2021 11:56:45.185 AM, 0.2808
       216,   01/19/2021 11:56:45.189 AM, 0.2808
       217,   01/19/2021 11:56:45.193 AM, 0.2808
       218,   01/19/2021 11:56:45.197 AM, 0.2857
       219,   01/19/2021 11:56:45.201 AM, 0.2857
       220,   01/19/2021 11:56:45.205 AM, 0.2808
       221,   01/19/2021 11:56:45.209 AM, 0.2808
       222,   01/19/2021 11:56:45.213 AM, 0.2857
       223,   01/19/2021 11:56:45.217 AM, 0.2808
       224,   01/19/2021 11:56:45.221 AM, 0.2808
       225,   01/19/2021 11:56:45.225 AM, 0.2808
       226,   01/19/2021 11:56:45.229 AM, 0.2857
       227,   01/19/2021 11:56:45.233 AM, 0.2857
       228,   01/19/2021 11:56:45.237 AM, 0.2808
       229,   01/19/2021 11:56:45.241 AM, 0.2857
       230,   01/19/2021 11:56:45.245 AM, 0.2857
       231,   01/19/2021 11:56:45.249 AM, 0.2857
       232,   01/19/2021 11:56:45.253 AM, 0.2857
       233,   01/19/2021 11:56:45.257 AM, 0.2857
       234,   01/19/2021 11:56:45.261 AM, 0.2857
       235,   01/19/2021 11:56:45.265 AM, 0.2808
       236,   01/19/2021 11:56:45.269 AM, 0.2857
       237,   01/19/2021 11:56:45.273 AM, 0.2857
       238,   01/19/2021 11:56:45.277 AM, 0.2857
       239,   01/19/2021 11:56:45.281 AM, 0.2857
       240,   01/19/2021 11:56:45.285 AM, 0.2857
       241,   01/19/2021 11:56:45.289 AM, 0.2857
       242,   01/19/2021 11:56:45.293 AM, 0.2857
       243,   01/19/2021 11:56:45.297 AM, 0.2857
       244,   01/19/2021 11:56:45.301 AM, 0.2857
       245,   01/19/2021 11:56:45.305 AM, 0.2857
       246,   01/19/2021 11:56:45.309 AM, 0.2857
       247,   01/19/2021 11:56:45.313 AM, 0.2857
       248,   01/19/2021 11:56:45.317 AM, 0.2857
       249,   01/19/2021 11:56:45.321 AM, 0.2857
       250,   01/19/2021 11:56:45.325 AM, 0.2857
       251,   01/19/2021 11:56:45.329 AM, 0.2857
       252,   01/19/2021 11:56:45.333 AM, 0.2857
       253,   01/19/2021 11:56:45.337 AM, 0.2857
       254,   01/19/2021 11:56:45.341 AM, 0.2857
