Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/19/2021 12:02:38.631 PM, 0.2662, DAQ Start
         2,   01/19/2021 12:02:38.635 PM, 0.2759
         3,   01/19/2021 12:02:38.639 PM, 0.2662
         4,   01/19/2021 12:02:38.643 PM, 0.2662
         5,   01/19/2021 12:02:38.647 PM, 0.2759
         6,   01/19/2021 12:02:38.651 PM, 0.2662
         7,   01/19/2021 12:02:38.655 PM, 0.2662
         8,   01/19/2021 12:02:38.659 PM, 0.2808
         9,   01/19/2021 12:02:38.663 PM, 0.2662
        10,   01/19/2021 12:02:38.667 PM, 0.2662
        11,   01/19/2021 12:02:38.671 PM, 0.2759
        12,   01/19/2021 12:02:38.675 PM, 0.2662
        13,   01/19/2021 12:02:38.679 PM, 0.2662
        14,   01/19/2021 12:02:38.683 PM, 0.2662
        15,   01/19/2021 12:02:38.687 PM, 0.2662
        16,   01/19/2021 12:02:38.691 PM, 0.2662
        17,   01/19/2021 12:02:38.695 PM, 0.2662
        18,   01/19/2021 12:02:38.699 PM, 0.2662
        19,   01/19/2021 12:02:38.703 PM, 0.2662
        20,   01/19/2021 12:02:38.707 PM, 0.2662
        21,   01/19/2021 12:02:38.711 PM, 0.2759
        22,   01/19/2021 12:02:38.715 PM, 0.2662
        23,   01/19/2021 12:02:38.719 PM, 0.2662
        24,   01/19/2021 12:02:38.723 PM, 0.2759
        25,   01/19/2021 12:02:38.727 PM, 0.2662
        26,   01/19/2021 12:02:38.731 PM, 0.2662
        27,   01/19/2021 12:02:38.735 PM, 0.2662
        28,   01/19/2021 12:02:38.739 PM, 0.2662
        29,   01/19/2021 12:02:38.743 PM, 0.2662
        30,   01/19/2021 12:02:38.747 PM, 0.2662
        31,   01/19/2021 12:02:38.751 PM, 0.2759
        32,   01/19/2021 12:02:38.755 PM, 0.2662
        33,   01/19/2021 12:02:38.759 PM, 0.2662
        34,   01/19/2021 12:02:38.763 PM, 0.2662
        35,   01/19/2021 12:02:38.767 PM, 0.2662
        36,   01/19/2021 12:02:38.771 PM, 0.2662
        37,   01/19/2021 12:02:38.775 PM, 0.2759
        38,   01/19/2021 12:02:38.779 PM, 0.2662
        39,   01/19/2021 12:02:38.783 PM, 0.2662
        40,   01/19/2021 12:02:38.787 PM, 0.2662
