Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/19/2021 11:52:11.722 AM, 0.2857, DAQ Start
         2,   01/19/2021 11:52:11.726 AM, 0.2808
         3,   01/19/2021 11:52:11.730 AM, 0.2808
         4,   01/19/2021 11:52:11.734 AM, 0.2808
         5,   01/19/2021 11:52:11.738 AM, 0.2808
         6,   01/19/2021 11:52:11.742 AM, 0.2808
         7,   01/19/2021 11:52:11.746 AM, 0.2808
         8,   01/19/2021 11:52:11.750 AM, 0.2808
         9,   01/19/2021 11:52:11.754 AM, 0.2808
        10,   01/19/2021 11:52:11.758 AM, 0.2808
        11,   01/19/2021 11:52:11.762 AM, 0.2857
        12,   01/19/2021 11:52:11.766 AM, 0.2857
        13,   01/19/2021 11:52:11.770 AM, 0.2808
        14,   01/19/2021 11:52:11.774 AM, 0.2857
        15,   01/19/2021 11:52:11.778 AM, 0.2808
        16,   01/19/2021 11:52:11.782 AM, 0.2808
        17,   01/19/2021 11:52:11.786 AM, 0.2857
        18,   01/19/2021 11:52:11.790 AM, 0.2857
        19,   01/19/2021 11:52:11.794 AM, 0.2857
        20,   01/19/2021 11:52:11.798 AM, 0.2857
        21,   01/19/2021 11:52:11.802 AM, 0.2808
        22,   01/19/2021 11:52:11.806 AM, 0.2857
        23,   01/19/2021 11:52:11.810 AM, 0.2857
        24,   01/19/2021 11:52:11.814 AM, 0.2857
        25,   01/19/2021 11:52:11.818 AM, 0.2857
        26,   01/19/2021 11:52:11.822 AM, 0.2857
        27,   01/19/2021 11:52:11.826 AM, 0.2857
        28,   01/19/2021 11:52:11.830 AM, 0.2857
        29,   01/19/2021 11:52:11.834 AM, 0.2857
        30,   01/19/2021 11:52:11.838 AM, 0.2857
        31,   01/19/2021 11:52:11.842 AM, 0.2857
        32,   01/19/2021 11:52:11.846 AM, 0.2857
        33,   01/19/2021 11:52:11.850 AM, 0.2857
        34,   01/19/2021 11:52:11.854 AM, 0.2857
        35,   01/19/2021 11:52:11.858 AM, 0.2857
        36,   01/19/2021 11:52:11.862 AM, 0.2857
        37,   01/19/2021 11:52:11.866 AM, 0.2808
        38,   01/19/2021 11:52:11.870 AM, 0.2808
        39,   01/19/2021 11:52:11.874 AM, 0.2808
        40,   01/19/2021 11:52:11.878 AM, 0.2808
