Header Size:  7
Version:  2
Sampling Interval:  0.004
Sampling Rate:  250
Sample Count:  7500
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   01/19/2021 11:49:29.614 AM, 0.2808, DAQ Start
         2,   01/19/2021 11:49:29.618 AM, 0.2857
         3,   01/19/2021 11:49:29.622 AM, 0.2906
         4,   01/19/2021 11:49:29.626 AM, 0.2857
         5,   01/19/2021 11:49:29.630 AM, 0.2808
         6,   01/19/2021 11:49:29.634 AM, 0.2857
         7,   01/19/2021 11:49:29.638 AM, 0.2808
         8,   01/19/2021 11:49:29.642 AM, 0.2808
         9,   01/19/2021 11:49:29.646 AM, 0.2808
        10,   01/19/2021 11:49:29.650 AM, 0.2808
        11,   01/19/2021 11:49:29.654 AM, 0.2808
        12,   01/19/2021 11:49:29.658 AM, 0.2808
        13,   01/19/2021 11:49:29.662 AM, 0.2857
        14,   01/19/2021 11:49:29.666 AM, 0.2857
        15,   01/19/2021 11:49:29.670 AM, 0.2857
        16,   01/19/2021 11:49:29.674 AM, 0.2808
        17,   01/19/2021 11:49:29.678 AM, 0.2857
        18,   01/19/2021 11:49:29.682 AM, 0.2808
        19,   01/19/2021 11:49:29.686 AM, 0.2808
        20,   01/19/2021 11:49:29.690 AM, 0.2808
        21,   01/19/2021 11:49:29.694 AM, 0.2857
        22,   01/19/2021 11:49:29.698 AM, 0.2808
        23,   01/19/2021 11:49:29.702 AM, 0.2808
        24,   01/19/2021 11:49:29.706 AM, 0.2808
        25,   01/19/2021 11:49:29.710 AM, 0.2857
        26,   01/19/2021 11:49:29.714 AM, 0.2857
        27,   01/19/2021 11:49:29.718 AM, 0.2808
        28,   01/19/2021 11:49:29.722 AM, 0.2857
        29,   01/19/2021 11:49:29.726 AM, 0.2857
        30,   01/19/2021 11:49:29.730 AM, 0.2808
        31,   01/19/2021 11:49:29.734 AM, 0.2808
        32,   01/19/2021 11:49:29.738 AM, 0.2808
        33,   01/19/2021 11:49:29.742 AM, 0.2857
        34,   01/19/2021 11:49:29.746 AM, 0.2808
        35,   01/19/2021 11:49:29.750 AM, 0.2857
        36,   01/19/2021 11:49:29.754 AM, 0.2808
        37,   01/19/2021 11:49:29.758 AM, 0.2808
        38,   01/19/2021 11:49:29.762 AM, 0.2808
        39,   01/19/2021 11:49:29.766 AM, 0.2808
        40,   01/19/2021 11:49:29.770 AM, 0.2857
