Header Size:  7
Version:  2
Sampling Interval:  0.002
Sampling Rate:  500
Sample Count:  9000
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   02/05/2021 01:11:34.660 PM, 4.0293, DAQ Start
         2,   02/05/2021 01:11:34.662 PM, 4.0293
         3,   02/05/2021 01:11:34.664 PM, 4.0293
         4,   02/05/2021 01:11:34.666 PM, 4.0293
         5,   02/05/2021 01:11:34.668 PM, 4.0293
         6,   02/05/2021 01:11:34.670 PM, 4.0293
         7,   02/05/2021 01:11:34.672 PM, 4.0293
         8,   02/05/2021 01:11:34.674 PM, 4.0293
         9,   02/05/2021 01:11:34.676 PM, 4.0293
        10,   02/05/2021 01:11:34.678 PM, 4.0293
        11,   02/05/2021 01:11:34.680 PM, 4.0293
        12,   02/05/2021 01:11:34.682 PM, 4.0293
        13,   02/05/2021 01:11:34.684 PM, 4.0293
        14,   02/05/2021 01:11:34.686 PM, 4.0293
        15,   02/05/2021 01:11:34.688 PM, 4.0195
        16,   02/05/2021 01:11:34.690 PM, 4.0293
        17,   02/05/2021 01:11:34.692 PM, 4.0293
        18,   02/05/2021 01:11:34.694 PM, 4.0293
        19,   02/05/2021 01:11:34.696 PM, 4.0293
        20,   02/05/2021 01:11:34.698 PM, 4.0293
        21,   02/05/2021 01:11:34.700 PM, 4.0195
        22,   02/05/2021 01:11:34.702 PM, 4.0195
        23,   02/05/2021 01:11:34.704 PM, 4.0195
        24,   02/05/2021 01:11:34.706 PM, 4.0293
        25,   02/05/2021 01:11:34.708 PM, 4.0195
        26,   02/05/2021 01:11:34.710 PM, 4.0195
        27,   02/05/2021 01:11:34.712 PM, 4.0293
        28,   02/05/2021 01:11:34.714 PM, 4.0195
        29,   02/05/2021 01:11:34.716 PM, 4.0195
        30,   02/05/2021 01:11:34.718 PM, 4.0195
        31,   02/05/2021 01:11:34.720 PM, 4.0195
        32,   02/05/2021 01:11:34.722 PM, 4.0195
        33,   02/05/2021 01:11:34.724 PM, 4.0195
        34,   02/05/2021 01:11:34.726 PM, 4.0195
        35,   02/05/2021 01:11:34.728 PM, 4.0195
        36,   02/05/2021 01:11:34.730 PM, 4.0195
        37,   02/05/2021 01:11:34.732 PM, 4.0195
        38,   02/05/2021 01:11:34.734 PM, 4.0195
        39,   02/05/2021 01:11:34.736 PM, 4.0195
        40,   02/05/2021 01:11:34.738 PM, 4.0195
        41,   02/05/2021 01:11:34.740 PM, 4.0195
