Header Size:  7
Version:  2
Sampling Interval:  0.002
Sampling Rate:  500
Sample Count:  9950
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   02/05/2021 01:10:50.949 PM, 4.0684, DAQ Start
         2,   02/05/2021 01:10:50.951 PM, 4.0684
         3,   02/05/2021 01:10:50.953 PM, 4.0684
         4,   02/05/2021 01:10:50.955 PM, 4.0684
         5,   02/05/2021 01:10:50.957 PM, 4.0684
         6,   02/05/2021 01:10:50.959 PM, 4.0684
         7,   02/05/2021 01:10:50.961 PM, 4.0684
         8,   02/05/2021 01:10:50.963 PM, 4.0684
         9,   02/05/2021 01:10:50.965 PM, 4.0684
        10,   02/05/2021 01:10:50.967 PM, 4.0684
        11,   02/05/2021 01:10:50.969 PM, 4.0781
        12,   02/05/2021 01:10:50.971 PM, 4.0684
        13,   02/05/2021 01:10:50.973 PM, 4.0684
        14,   02/05/2021 01:10:50.975 PM, 4.0684
        15,   02/05/2021 01:10:50.977 PM, 4.0684
        16,   02/05/2021 01:10:50.979 PM, 4.0684
        17,   02/05/2021 01:10:50.981 PM, 4.0684
        18,   02/05/2021 01:10:50.983 PM, 4.0684
        19,   02/05/2021 01:10:50.985 PM, 4.0684
        20,   02/05/2021 01:10:50.987 PM, 4.0684
        21,   02/05/2021 01:10:50.989 PM, 4.0684
        22,   02/05/2021 01:10:50.991 PM, 4.0684
        23,   02/05/2021 01:10:50.993 PM, 4.0684
        24,   02/05/2021 01:10:50.995 PM, 4.0781
        25,   02/05/2021 01:10:50.997 PM, 4.0684
        26,   02/05/2021 01:10:50.999 PM, 4.0684
        27,   02/05/2021 01:10:51.001 PM, 4.0684
        28,   02/05/2021 01:10:51.003 PM, 4.0684
        29,   02/05/2021 01:10:51.005 PM, 4.0684
        30,   02/05/2021 01:10:51.007 PM, 4.0684
        31,   02/05/2021 01:10:51.009 PM, 4.0684
        32,   02/05/2021 01:10:51.011 PM, 4.0684
        33,   02/05/2021 01:10:51.013 PM, 4.0684
        34,   02/05/2021 01:10:51.015 PM, 4.0684
        35,   02/05/2021 01:10:51.017 PM, 4.0684
        36,   02/05/2021 01:10:51.019 PM, 4.0684
        37,   02/05/2021 01:10:51.021 PM, 4.0684
        38,   02/05/2021 01:10:51.023 PM, 4.0684
        39,   02/05/2021 01:10:51.025 PM, 4.0684
        40,   02/05/2021 01:10:51.027 PM, 4.0684
        41,   02/05/2021 01:10:51.029 PM, 4.0684
