Header Size:  7
Version:  2
Sampling Interval:  0.002
Sampling Rate:  500
Sample Count:  8950
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   02/05/2021 01:09:18.751 PM, 3.8437, DAQ Start
         2,   02/05/2021 01:09:18.753 PM, 3.8437
         3,   02/05/2021 01:09:18.755 PM, 3.8437
         4,   02/05/2021 01:09:18.757 PM, 3.8437
         5,   02/05/2021 01:09:18.759 PM, 3.8437
         6,   02/05/2021 01:09:18.761 PM, 3.8437
         7,   02/05/2021 01:09:18.763 PM, 3.8437
         8,   02/05/2021 01:09:18.765 PM, 3.8535
         9,   02/05/2021 01:09:18.767 PM, 3.8535
        10,   02/05/2021 01:09:18.769 PM, 3.8437
        11,   02/05/2021 01:09:18.771 PM, 3.8437
        12,   02/05/2021 01:09:18.773 PM, 3.8437
        13,   02/05/2021 01:09:18.775 PM, 3.8437
        14,   02/05/2021 01:09:18.777 PM, 3.8437
        15,   02/05/2021 01:09:18.779 PM, 3.8437
        16,   02/05/2021 01:09:18.781 PM, 3.8437
        17,   02/05/2021 01:09:18.783 PM, 3.8437
        18,   02/05/2021 01:09:18.785 PM, 3.8437
        19,   02/05/2021 01:09:18.787 PM, 3.8437
        20,   02/05/2021 01:09:18.789 PM, 3.8437
        21,   02/05/2021 01:09:18.791 PM, 3.8437
        22,   02/05/2021 01:09:18.793 PM, 3.8437
        23,   02/05/2021 01:09:18.795 PM, 3.8437
        24,   02/05/2021 01:09:18.797 PM, 3.8437
        25,   02/05/2021 01:09:18.799 PM, 3.8437
        26,   02/05/2021 01:09:18.801 PM, 3.8437
        27,   02/05/2021 01:09:18.803 PM, 3.8437
        28,   02/05/2021 01:09:18.805 PM, 3.8437
        29,   02/05/2021 01:09:18.807 PM, 3.8437
        30,   02/05/2021 01:09:18.809 PM, 3.8437
        31,   02/05/2021 01:09:18.811 PM, 3.8437
        32,   02/05/2021 01:09:18.813 PM, 3.8437
        33,   02/05/2021 01:09:18.815 PM, 3.8437
        34,   02/05/2021 01:09:18.817 PM, 3.8437
        35,   02/05/2021 01:09:18.819 PM, 3.8437
        36,   02/05/2021 01:09:18.821 PM, 3.8437
        37,   02/05/2021 01:09:18.823 PM, 3.8437
        38,   02/05/2021 01:09:18.825 PM, 3.8437
        39,   02/05/2021 01:09:18.827 PM, 3.8437
        40,   02/05/2021 01:09:18.829 PM, 3.8437
        41,   02/05/2021 01:09:18.831 PM, 3.8437
