Header Size:  7
Version:  2
Sampling Interval:  0.002
Sampling Rate:  500
Sample Count:  7050
Device Serial Number:  0
Sample Number, Date/Time, CHANNEL0, Events
         1,   02/05/2021 01:10:11.871 PM, 4.1172, DAQ Start
         2,   02/05/2021 01:10:11.873 PM, 4.1172
         3,   02/05/2021 01:10:11.875 PM, 4.1172
         4,   02/05/2021 01:10:11.877 PM, 4.1172
         5,   02/05/2021 01:10:11.879 PM, 4.1172
         6,   02/05/2021 01:10:11.881 PM, 4.1172
         7,   02/05/2021 01:10:11.883 PM, 4.1172
         8,   02/05/2021 01:10:11.885 PM, 4.1172
         9,   02/05/2021 01:10:11.887 PM, 4.1172
        10,   02/05/2021 01:10:11.889 PM, 4.1270
        11,   02/05/2021 01:10:11.891 PM, 4.1172
        12,   02/05/2021 01:10:11.893 PM, 4.1172
        13,   02/05/2021 01:10:11.895 PM, 4.1172
        14,   02/05/2021 01:10:11.897 PM, 4.1172
        15,   02/05/2021 01:10:11.899 PM, 4.1172
        16,   02/05/2021 01:10:11.901 PM, 4.1172
        17,   02/05/2021 01:10:11.903 PM, 4.1172
        18,   02/05/2021 01:10:11.905 PM, 4.1172
        19,   02/05/2021 01:10:11.907 PM, 4.1172
        20,   02/05/2021 01:10:11.909 PM, 4.1172
        21,   02/05/2021 01:10:11.911 PM, 4.1172
        22,   02/05/2021 01:10:11.913 PM, 4.1074
        23,   02/05/2021 01:10:11.915 PM, 4.1172
        24,   02/05/2021 01:10:11.917 PM, 4.1172
        25,   02/05/2021 01:10:11.919 PM, 4.1172
        26,   02/05/2021 01:10:11.921 PM, 4.1172
        27,   02/05/2021 01:10:11.923 PM, 4.1172
        28,   02/05/2021 01:10:11.925 PM, 4.1172
        29,   02/05/2021 01:10:11.927 PM, 4.1172
        30,   02/05/2021 01:10:11.929 PM, 4.1172
        31,   02/05/2021 01:10:11.931 PM, 4.1172
        32,   02/05/2021 01:10:11.933 PM, 4.1172
        33,   02/05/2021 01:10:11.935 PM, 4.1172
        34,   02/05/2021 01:10:11.937 PM, 4.1172
        35,   02/05/2021 01:10:11.939 PM, 4.1172
        36,   02/05/2021 01:10:11.941 PM, 4.1172
        37,   02/05/2021 01:10:11.943 PM, 4.1172
        38,   02/05/2021 01:10:11.945 PM, 4.1172
        39,   02/05/2021 01:10:11.947 PM, 4.1172
        40,   02/05/2021 01:10:11.949 PM, 4.1172
        41,   02/05/2021 01:10:11.951 PM, 4.1172
